prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.138215
1,knowledge/01.txt,0.5200,0.135143
1,knowledge/01.txt,0.5300,0.132283
1,knowledge/01.txt,0.5400,0.129625
1,knowledge/01.txt,0.5500,0.127157
1,knowledge/01.txt,0.5600,0.124872
1,knowledge/01.txt,0.5700,0.122759
1,knowledge/01.txt,0.5800,0.120812
1,knowledge/01.txt,0.5900,0.119021
1,knowledge/01.txt,0.6000,0.117381
1,knowledge/01.txt,0.6100,0.115885
1,knowledge/01.txt,0.6200,0.114526
1,knowledge/01.txt,0.6300,0.113299
1,knowledge/01.txt,0.6400,0.112199
1,knowledge/01.txt,0.6500,0.111220
1,knowledge/01.txt,0.6600,0.110358
1,knowledge/01.txt,0.6700,0.109609
1,knowledge/01.txt,0.6800,0.108968
1,knowledge/01.txt,0.6900,0.108431
1,knowledge/01.txt,0.7000,0.107996
1,knowledge/01.txt,0.7100,0.107658
1,knowledge/01.txt,0.7200,0.107414
1,knowledge/01.txt,0.7300,0.107262
1,knowledge/01.txt,0.7400,0.107198
1,knowledge/01.txt,0.7500,0.107221
1,knowledge/01.txt,0.7600,0.107327
1,knowledge/01.txt,0.7700,0.107515
1,knowledge/01.txt,0.7800,0.107782
1,knowledge/01.txt,0.7900,0.108126
1,knowledge/01.txt,0.8000,0.108545
1,knowledge/01.txt,0.8100,0.109038
1,knowledge/01.txt,0.8200,0.109603
1,knowledge/01.txt,0.8300,0.110239
1,knowledge/01.txt,0.8400,0.110943
1,knowledge/01.txt,0.8500,0.111716
1,knowledge/01.txt,0.8600,0.112555
1,knowledge/01.txt,0.8700,0.113459
1,knowledge/01.txt,0.8800,0.114428
1,knowledge/01.txt,0.8900,0.115461
1,knowledge/01.txt,0.9000,0.116556
2,knowledge/02.txt,0.5100,0.132542
2,knowledge/02.txt,0.5200,0.129350
2,knowledge/02.txt,0.5300,0.126381
2,knowledge/02.txt,0.5400,0.123622
2,knowledge/02.txt,0.5500,0.121064
2,knowledge/02.txt,0.5600,0.118695
2,knowledge/02.txt,0.5700,0.116507
2,knowledge/02.txt,0.5800,0.114490
2,knowledge/02.txt,0.5900,0.112638
2,knowledge/02.txt,0.6000,0.110941
2,knowledge/02.txt,0.6100,0.109394
2,knowledge/02.txt,0.6200,0.107989
2,knowledge/02.txt,0.6300,0.106721
2,knowledge/02.txt,0.6400,0.105584
2,knowledge/02.txt,0.6500,0.104572
2,knowledge/02.txt,0.6600,0.103680
2,knowledge/02.txt,0.6700,0.102904
2,knowledge/02.txt,0.6800,0.102239
2,knowledge/02.txt,0.6900,0.101681
2,knowledge/02.txt,0.7000,0.101227
2,knowledge/02.txt,0.7100,0.100872
2,knowledge/02.txt,0.7200,0.100613
2,knowledge/02.txt,0.7300,0.100447
2,knowledge/02.txt,0.7400,0.100372
2,knowledge/02.txt,0.7500,0.100383
2,knowledge/02.txt,0.7600,0.100479
2,knowledge/02.txt,0.7700,0.100658
2,knowledge/02.txt,0.7800,0.100915
2,knowledge/02.txt,0.7900,0.101251
2,knowledge/02.txt,0.8000,0.101662
2,knowledge/02.txt,0.8100,0.102147
2,knowledge/02.txt,0.8200,0.102704
2,knowledge/02.txt,0.8300,0.103331
2,knowledge/02.txt,0.8400,0.104027
2,knowledge/02.txt,0.8500,0.104790
2,knowledge/02.txt,0.8600,0.105619
2,knowledge/02.txt,0.8700,0.106513
2,knowledge/02.txt,0.8800,0.107471
2,knowledge/02.txt,0.8900,0.108491
2,knowledge/02.txt,0.9000,0.109573
3,knowledge/03.txt,0.5100,0.146558
3,knowledge/03.txt,0.5200,0.143136
3,knowledge/03.txt,0.5300,0.139933
3,knowledge/03.txt,0.5400,0.136937
3,knowledge/03.txt,0.5500,0.134139
3,knowledge/03.txt,0.5600,0.131527
3,knowledge/03.txt,0.5700,0.129093
3,knowledge/03.txt,0.5800,0.126828
3,knowledge/03.txt,0.5900,0.124723
3,knowledge/03.txt,0.6000,0.122773
3,knowledge/03.txt,0.6100,0.120968
3,knowledge/03.txt,0.6200,0.119303
3,knowledge/03.txt,0.6300,0.117772
3,knowledge/03.txt,0.6400,0.116369
3,knowledge/03.txt,0.6500,0.115088
3,knowledge/03.txt,0.6600,0.113925
3,knowledge/03.txt,0.6700,0.112875
3,knowledge/03.txt,0.6800,0.111933
3,knowledge/03.txt,0.6900,0.111096
3,knowledge/03.txt,0.7000,0.110358
