prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.006685
1,knowledge/01.txt,0.5200,0.005735
1,knowledge/01.txt,0.5300,0.004912
1,knowledge/01.txt,0.5400,0.004211
1,knowledge/01.txt,0.5500,0.003624
1,knowledge/01.txt,0.5600,0.003147
1,knowledge/01.txt,0.5700,0.002775
1,knowledge/01.txt,0.5800,0.002503
1,knowledge/01.txt,0.5900,0.002325
1,knowledge/01.txt,0.6000,0.002239
1,knowledge/01.txt,0.6100,0.002241
1,knowledge/01.txt,0.6200,0.002326
1,knowledge/01.txt,0.6300,0.002492
1,knowledge/01.txt,0.6400,0.002735
1,knowledge/01.txt,0.6500,0.003053
1,knowledge/01.txt,0.6600,0.003442
1,knowledge/01.txt,0.6700,0.003901
1,knowledge/01.txt,0.6800,0.004426
1,knowledge/01.txt,0.6900,0.005017
1,knowledge/01.txt,0.7000,0.005670
1,knowledge/01.txt,0.7100,0.006384
1,knowledge/01.txt,0.7200,0.007156
1,knowledge/01.txt,0.7300,0.007987
1,knowledge/01.txt,0.7400,0.008872
1,knowledge/01.txt,0.7500,0.009812
1,knowledge/01.txt,0.7600,0.010805
1,knowledge/01.txt,0.7700,0.011850
1,knowledge/01.txt,0.7800,0.012945
1,knowledge/01.txt,0.7900,0.014090
1,knowledge/01.txt,0.8000,0.015283
1,knowledge/01.txt,0.8100,0.016524
1,knowledge/01.txt,0.8200,0.017812
1,knowledge/01.txt,0.8300,0.019145
1,knowledge/01.txt,0.8400,0.020524
1,knowledge/01.txt,0.8500,0.021947
1,knowledge/01.txt,0.8600,0.023414
1,knowledge/01.txt,0.8700,0.024925
1,knowledge/01.txt,0.8800,0.026480
1,knowledge/01.txt,0.8900,0.028077
1,knowledge/01.txt,0.9000,0.029716
2,knowledge/02.txt,0.5100,0.006901
2,knowledge/02.txt,0.5200,0.005895
2,knowledge/02.txt,0.5300,0.005022
2,knowledge/02.txt,0.5400,0.004277
2,knowledge/02.txt,0.5500,0.003653
2,knowledge/02.txt,0.5600,0.003144
2,knowledge/02.txt,0.5700,0.002743
2,knowledge/02.txt,0.5800,0.002447
2,knowledge/02.txt,0.5900,0.002250
2,knowledge/02.txt,0.6000,0.002148
2,knowledge/02.txt,0.6100,0.002137
2,knowledge/02.txt,0.6200,0.002213
2,knowledge/02.txt,0.6300,0.002372
2,knowledge/02.txt,0.6400,0.002611
2,knowledge/02.txt,0.6500,0.002926
2,knowledge/02.txt,0.6600,0.003316
2,knowledge/02.txt,0.6700,0.003776
2,knowledge/02.txt,0.6800,0.004305
2,knowledge/02.txt,0.6900,0.004900
2,knowledge/02.txt,0.7000,0.005559
2,knowledge/02.txt,0.7100,0.006280
2,knowledge/02.txt,0.7200,0.007060
2,knowledge/02.txt,0.7300,0.007898
2,knowledge/02.txt,0.7400,0.008793
2,knowledge/02.txt,0.7500,0.009742
2,knowledge/02.txt,0.7600,0.010744
2,knowledge/02.txt,0.7700,0.011798
2,knowledge/02.txt,0.7800,0.012902
2,knowledge/02.txt,0.7900,0.014056
2,knowledge/02.txt,0.8000,0.015258
2,knowledge/02.txt,0.8100,0.016506
2,knowledge/02.txt,0.8200,0.017801
2,knowledge/02.txt,0.8300,0.019141
2,knowledge/02.txt,0.8400,0.020525
2,knowledge/02.txt,0.8500,0.021953
2,knowledge/02.txt,0.8600,0.023424
